Year,Category,Amount,Code
2010,Candy,8.6,0.6
2010,Flowers,12.33,0.2
2010,Jewelry,21.52,1
2010,Cards,5.91,1
2010,Going out,23.76,1
2010,Clothing,10.93,1
2010,Gift Cards,8.42,0.4
2011,Candy,10.75,0.6
2011,Flowers,12.62,0.2
2011,Jewelry,26.18,1
2011,Cards,8.09,1
2011,Going out,24.86,1
2011,Clothing,12,1
2011,Gift Cards,11.21,0.4
2012,Candy,10.85,0.6
2012,Flowers,13.49,0.2
2012,Jewelry,29.6,1
2012,Cards,6.93,1
2012,Going out,25.66,1
2012,Clothing,10.42,1
2012,Gift Cards,8.43,0.4
2013,Candy,11.64,0.6
2013,Flowers,13.48,0.2
2013,Jewelry,30.94,1
2013,Cards,8.32,1
2013,Going out,27.93,1
2013,Clothing,11.46,1
2013,Gift Cards,10.23,0.4
2014,Candy,10.8,0.6
2014,Flowers,15,0.2
2014,Jewelry,30.58,1
2014,Cards,7.97,1
2014,Going out,27.48,1
2014,Clothing,13.37,1
2014,Gift Cards,9,0.4
2015,Candy,12.7,0.6
2015,Flowers,15.72,0.2
2015,Jewelry,36.3,1
2015,Cards,7.87,1
2015,Going out,27.27,1
2015,Clothing,14.72,1
2015,Gift Cards,11.05,0.4
2016,Candy,13.11,0.6
2016,Flowers,14.78,0.2
2016,Jewelry,33.11,1
2016,Cards,8.52,1
2016,Going out,33.46,1
2016,Clothing,15.05,1
2016,Gift Cards,12.52,0.4
2017,Candy,12.68,0.6
2017,Flowers,14.63,0.2
2017,Jewelry,32.32,1
2017,Cards,7.36,1
2017,Going out,28.46,1
2017,Clothing,13.91,1
2017,Gift Cards,10.23,0.4
2018,Candy,13.12,0.6
2018,Flowers,14.75,0.2
2018,Jewelry,34.1,1
2018,Cards,6.55,1
2018,Going out,26.96,1
2018,Clothing,14.04,1
2018,Gift Cards,11.04,0.4
2019,Candy,14.12,0.6
2019,Flowers,15.07,0.2
2019,Jewelry,30.34,1
2019,Cards,7.31,1
2019,Going out,27.72,1
2019,Clothing,16.08,1
2019,Gift Cards,10.31,0.4
2020,Candy,17.3,0.6
2020,Flowers,16.49,0.2
2020,Jewelry,41.65,1
2020,Cards,9.01,1
2020,Going out,30.78,1
2020,Clothing,20.67,1
2020,Gift Cards,14.21,0.4
2021,Candy,15.32,0.6
2021,Flowers,15.42,0.2
2021,Jewelry,30.71,1
2021,Cards,8.48,1
2021,Going out,21.39,1
2021,Clothing,20.05,1
2021,Gift Cards,15.67,0.4
2022,Candy,15.9,0.6
2022,Flowers,16.71,0.2
2022,Jewelry,45.75,1
2022,Cards,7.47,1
2022,Going out,31.35,1
2022,Clothing,21.46,1
2022,Gift Cards,17.22,0.4
